entering_la,entering_la_name,leaving_region,age,year,flow
E09000001,City of London,East of England,0,2002,0.558
E09000001,City of London,East of England,0,2003,0.2321
E09000001,City of London,East of England,0,2004,0.1211
E09000001,City of London,East of England,0,2005,0.2459
E09000001,City of London,East of England,0,2006,0.1852
E09000001,City of London,East of England,0,2007,0.2575
E09000001,City of London,East of England,0,2008,0.2175
E09000001,City of London,East of England,0,2009,0.2525
E09000001,City of London,East of England,0,2010,0.6949
E09000001,City of London,East of England,0,2011,0.1246
E09000001,City of London,East of England,0,2012,0.2319
E09000001,City of London,East of England,1,2012,1.2883
E09000001,City of London,East of England,2,2010,2.5309
E09000001,City of London,East of England,2,2012,1.3059
E09000001,City of London,East of England,2,2016,1.2969
E09000001,City of London,East of England,2,2019,3
E09000001,City of London,East of England,3,2004,1.2293
E09000001,City of London,East of England,3,2012,1.3059
E09000001,City of London,East of England,3,2020,1.3351
E09000001,City of London,East of England,5,2020,3
E09000001,City of London,East of England,7,2007,1.2397
E09000001,City of London,East of England,8,2003,1.1875
E09000001,City of London,East of England,8,2012,1.3053
E09000001,City of London,East of England,8,2015,1.1494
E09000001,City of London,East of England,9,2002,1.2377
E09000001,City of London,East of England,9,2005,1.2219
E09000001,City of London,East of England,9,2009,1.2873
E09000001,City of London,East of England,9,2015,1.258
E09000001,City of London,East of England,9,2018,1.0031
E09000001,City of London,East of England,9,2019,1.2769
E09000001,City of London,East of England,9,2020,1.2785
E09000001,City of London,East of England,10,2003,2.5181
E09000001,City of London,East of England,10,2004,1.2293
E09000001,City of London,East of England,10,2019,1.332
E09000001,City of London,East of England,10,2020,3
E09000001,City of London,East of England,11,2002,1.2487
E09000001,City of London,East of England,11,2018,0.9958
E09000001,City of London,East of England,12,2002,1.2487
E09000001,City of London,East of England,13,2003,1.2408
E09000001,City of London,East of England,13,2017,3
E09000001,City of London,East of England,15,2011,1.2033
E09000001,City of London,East of England,15,2012,1.2989
E09000001,City of London,London,0,2002,5.9121
E09000001,City of London,London,0,2003,3.3011
E09000001,City of London,London,0,2004,3.0319
E09000001,City of London,London,0,2005,3.9466
E09000001,City of London,London,0,2006,4.4397
E09000001,City of London,London,0,2007,2.5842
E09000001,City of London,London,0,2008,3.9941
E09000001,City of London,London,0,2009,3.8766
E09000001,City of London,London,0,2010,7.445
E09000001,City of London,London,0,2011,1.0059
E09000001,City of London,London,0,2012,11.7349
E09000001,City of London,London,0,2013,2
E09000001,City of London,London,0,2015,3.9999
E09000001,City of London,London,0,2019,3.303
E09000001,City of London,London,0,2020,2.0001
E09000001,City of London,London,1,2002,6.3557
E09000001,City of London,London,1,2003,2.5414
E09000001,City of London,London,1,2004,2.5026
E09000001,City of London,London,1,2005,3.7989
E09000001,City of London,London,1,2006,4.928
E09000001,City of London,London,1,2007,1.2639
E09000001,City of London,London,1,2008,3.729
E09000001,City of London,London,1,2009,3.8302
E09000001,City of London,London,1,2010,7.683
E09000001,City of London,London,1,2011,1.2316
E09000001,City of London,London,1,2012,9.1722
E09000001,City of London,London,1,2013,2
E09000001,City of London,London,1,2014,3
E09000001,City of London,London,1,2015,4.9999
E09000001,City of London,London,1,2016,3
E09000001,City of London,London,1,2017,4
E09000001,City of London,London,1,2018,1.1764
E09000001,City of London,London,1,2019,4.6601
E09000001,City of London,London,1,2020,6.0001
E09000001,City of London,London,2,2002,2.4719
E09000001,City of London,London,2,2003,2.5414
E09000001,City of London,London,2,2004,6.2902
E09000001,City of London,London,2,2005,2.532
E09000001,City of London,London,2,2006,4.9789
E09000001,City of London,London,2,2007,3.7245
E09000001,City of London,London,2,2008,1.256
E09000001,City of London,London,2,2009,1.3597
E09000001,City of London,London,2,2010,5.005
E09000001,City of London,London,2,2011,2.3678
E09000001,City of London,London,2,2012,6.5246
E09000001,City of London,London,2,2014,3
E09000001,City of London,London,2,2015,7.9999
E09000001,City of London,London,2,2016,2.7031
E09000001,City of London,London,2,2017,10
E09000001,City of London,London,2,2018,5.9999
E09000001,City of London,London,2,2020,3
E09000001,City of London,London,3,2002,2.5387
E09000001,City of London,London,3,2003,1.3233
E09000001,City of London,London,3,2004,1.23
E09000001,City of London,London,3,2005,1.2206
E09000001,City of London,London,3,2007,2.4606
E09000001,City of London,London,3,2010,6.3385
E09000001,City of London,London,3,2011,2.4105
E09000001,City of London,London,3,2012,2.6647
E09000001,City of London,London,3,2013,3
E09000001,City of London,London,3,2014,7
E09000001,City of London,London,3,2015,3.9999
E09000001,City of London,London,3,2017,3
E09000001,City of London,London,3,2019,3
E09000001,City of London,London,3,2020,4.665
E09000001,City of London,London,4,2002,1.2496
E09000001,City of London,London,4,2003,1.3233
E09000001,City of London,London,4,2004,1.23
E09000001,City of London,London,4,2005,1.2593
E09000001,City of London,London,4,2006,1.2655
E09000001,City of London,London,4,2007,6.2409
E09000001,City of London,London,4,2008,2.5211
E09000001,City of London,London,4,2009,3.922
E09000001,City of London,London,4,2010,1.2766
E09000001,City of London,London,4,2011,1.1839
E09000001,City of London,London,4,2012,2.6582
E09000001,City of London,London,4,2013,2
E09000001,City of London,London,4,2014,4
E09000001,City of London,London,4,2015,3
E09000001,City of London,London,4,2019,3.754
E09000001,City of London,London,5,2002,2.445
E09000001,City of London,London,5,2004,5.0087
E09000001,City of London,London,5,2005,1.2206
E09000001,City of London,London,5,2006,2.4322
E09000001,City of London,London,5,2007,2.4989
E09000001,City of London,London,5,2008,1.1984
E09000001,City of London,London,5,2009,2.5861
E09000001,City of London,London,5,2010,1.2766
E09000001,City of London,London,5,2013,3
E09000001,City of London,London,5,2014,4
E09000001,City of London,London,5,2017,7
E09000001,City of London,London,5,2019,4
E09000001,City of London,London,5,2020,2
E09000001,City of London,London,6,2004,2.6066
E09000001,City of London,London,6,2006,2.4894
E09000001,City of London,London,6,2007,1.2639
E09000001,City of London,London,6,2008,1.256
E09000001,City of London,London,6,2010,1.2172
E09000001,City of London,London,6,2011,1.1839
E09000001,City of London,London,6,2012,1.3291
E09000001,City of London,London,6,2015,3
E09000001,City of London,London,6,2017,3
E09000001,City of London,London,6,2018,3
E09000001,City of London,London,6,2019,3
E09000001,City of London,London,7,2002,1.2494
E09000001,City of London,London,7,2003,1.3233
E09000001,City of London,London,7,2004,2.4572
E09000001,City of London,London,7,2005,2.5103
E09000001,City of London,London,7,2006,5.0231
E09000001,City of London,London,7,2009,1.2264
E09000001,City of London,London,7,2011,2.3679
E09000001,City of London,London,7,2012,2.5588
E09000001,City of London,London,7,2014,3
E09000001,City of London,London,7,2018,0.9875
E09000001,City of London,London,7,2020,3
E09000001,City of London,London,8,2002,4.9999
E09000001,City of London,London,8,2003,5.0688
E09000001,City of London,London,8,2004,6.4115
E09000001,City of London,London,8,2005,1.2206
E09000001,City of London,London,8,2006,3.7549
E09000001,City of London,London,8,2007,2.4152
E09000001,City of London,London,8,2008,3.7198
E09000001,City of London,London,8,2009,2.6038
E09000001,City of London,London,8,2010,3.9476
E09000001,City of London,London,8,2011,8.3639
E09000001,City of London,London,8,2012,3.8596
E09000001,City of London,London,8,2013,0.9819
E09000001,City of London,London,8,2014,6
E09000001,City of London,London,8,2015,7.6749
E09000001,City of London,London,8,2016,3
E09000001,City of London,London,8,2017,3.5831
E09000001,City of London,London,8,2018,2
E09000001,City of London,London,8,2019,3
E09000001,City of London,London,8,2020,3
E09000001,City of London,London,9,2002,2.5268
E09000001,City of London,London,9,2003,6.3211
E09000001,City of London,London,9,2004,1.3033
