entering_region,leaving_la,leaving_la_name,age,year,flow
East of England,E09000001,City of London,0,2002,0.5433
East of England,E09000001,City of London,0,2003,0.8759
East of England,E09000001,City of London,0,2004,1.3118
East of England,E09000001,City of London,0,2005,0.5952
East of England,E09000001,City of London,0,2006,2.0507
East of England,E09000001,City of London,0,2007,1.1079
East of England,E09000001,City of London,0,2008,1.4864
East of England,E09000001,City of London,0,2009,0.9582
East of England,E09000001,City of London,0,2010,0.9669
East of England,E09000001,City of London,0,2011,1.5217
East of England,E09000001,City of London,0,2012,0.8142
East of England,E09000001,City of London,0,2013,0.3519
East of England,E09000001,City of London,0,2014,0.4447
East of England,E09000001,City of London,0,2015,0.5801
East of England,E09000001,City of London,0,2018,1.4133
East of England,E09000001,City of London,0,2019,2.2285
East of England,E09000001,City of London,0,2020,3.4023
East of England,E09000001,City of London,1,2003,1.0816
East of England,E09000001,City of London,1,2007,1.0591
East of England,E09000001,City of London,1,2009,1.0942
East of England,E09000001,City of London,1,2010,1.1294
East of England,E09000001,City of London,1,2011,1.1282
East of England,E09000001,City of London,1,2012,2.4767
East of England,E09000001,City of London,1,2013,1.3711
East of England,E09000001,City of London,1,2014,1.0124
East of England,E09000001,City of London,1,2015,1.1596
East of England,E09000001,City of London,1,2018,2.373
East of England,E09000001,City of London,1,2019,3.5363
East of England,E09000001,City of London,1,2020,1.1387
East of England,E09000001,City of London,2,2006,1.2222
East of England,E09000001,City of London,2,2007,1.1264
East of England,E09000001,City of London,2,2009,2.2278
East of England,E09000001,City of London,2,2011,1.1282
East of England,E09000001,City of London,2,2015,3.576
East of England,E09000001,City of London,2,2016,1.0971
East of England,E09000001,City of London,2,2017,1.2222
East of England,E09000001,City of London,2,2018,1.2286
East of England,E09000001,City of London,2,2020,1.1395
East of England,E09000001,City of London,3,2002,1.1077
East of England,E09000001,City of London,3,2003,1.0816
East of England,E09000001,City of London,3,2007,2.1104
East of England,E09000001,City of London,3,2009,1.0942
East of England,E09000001,City of London,3,2010,1.1294
East of England,E09000001,City of London,3,2015,1.324
East of England,E09000001,City of London,3,2016,1.2338
East of England,E09000001,City of London,3,2018,2.5878
East of England,E09000001,City of London,3,2019,2.1535
East of England,E09000001,City of London,3,2020,1.0096
East of England,E09000001,City of London,4,2003,2.191
East of England,E09000001,City of London,4,2009,1.1336
East of England,E09000001,City of London,4,2010,1.1294
East of England,E09000001,City of London,4,2011,1.1282
East of England,E09000001,City of London,4,2013,1.1168
East of England,E09000001,City of London,4,2017,1.247
East of England,E09000001,City of London,5,2002,1.1077
East of England,E09000001,City of London,5,2004,1.0714
East of England,E09000001,City of London,5,2011,1.1282
East of England,E09000001,City of London,5,2016,3
East of England,E09000001,City of London,6,2007,2.2148
East of England,E09000001,City of London,7,2003,1.1231
East of England,E09000001,City of London,7,2005,1.1167
East of England,E09000001,City of London,7,2008,1.1853
East of England,E09000001,City of London,7,2009,1.0942
East of England,E09000001,City of London,7,2018,3
East of England,E09000001,City of London,9,2004,1.0714
East of England,E09000001,City of London,9,2007,1.0884
East of England,E09000001,City of London,9,2009,2.1884
East of England,E09000001,City of London,9,2013,2
East of England,E09000001,City of London,9,2017,3.5946
East of England,E09000001,City of London,9,2018,3
East of England,E09000001,City of London,10,2004,1.161
