"","year","sumvalue_out","sumvalue_outK","sumvalue_in","sumvalue_inK","sumvalue_netK"
"1",2002,261683.2737,261.6832737,172601.611,172.601611,-89.0816627
"2",2003,273083.5666,273.0835666,169970.2022,169.9702022,-103.1133644
"3",2004,279211.9126,279.2119126,168950.7609,168.9507609,-110.2611517
"4",2005,263938.3171,263.9383171,179089.6048,179.0896048,-84.8487123
"5",2006,263529.6325,263.5296325,186799.636,186.799636,-76.7299965
"6",2007,268931.0231,268.9310231,191650.3602,191.6503602,-77.2806629
"7",2008,259851.3952,259.8513952,192187.5658,192.1875658,-67.6638294
"8",2009,237133.2832,237.1332832,205212.3648,205.2123648,-31.9209184
"9",2010,243416.7368,243.4167368,200811.9971,200.8119971,-42.6047397
"10",2011,241971.8066,241.9718066,201620.2265,201.6202265,-40.3515801
"11",2012,255141.2276,255.1412276,203443.3558,203.4433558,-51.6978718
"12",2013,251598.6582,251.5986582,196571.3828,196.5713828,-55.0272754
"13",2014,273077.2985,273.0772985,204443.3486,204.4433486,-68.6339499
"14",2015,283065.413,283.065413,205531.1003,205.5311003,-77.5343127
"15",2016,291622.6417,291.6226417,198320.9908,198.3209908,-93.3016509
"16",2017,336013.6254,336.0136254,229405.7014,229.4057014,-106.607924
"17",2018,340499.7362,340.4997362,237270.1246,237.2701246,-103.2296116
"18",2019,349296.2002,349.2962002,255304.2402,255.3042402,-93.99196
"19",2020,320283.6633,320.2836633,218902.4844,218.9024844,-101.3811789
